word	score
absolutely	0.3
amazingly	0.3
awfully	0.3
completely	0.3
considerable	0.3
considerably	0.3
decidedly	0.3
deeply	0.3
effing	0.3
enormous	0.3
enormously	0.3
entirely	0.3
especially	0.3
exceptional	0.3
exceptionally	0.3
extreme	0.3
extremely	0.3
fabulously	0.3
flipping	0.3
flippin	0.3
frackin	0.3
fracking	0.3
fricking	0.3
frickin	0.3
frigging	0.3
friggin	0.3
fully	0.3
fuckin	0.3
fucking	0.3
fuggin	0.3
fugging	0.3
greatly	0.3
hella	0.3
highly	0.3
hugely	0.3
incredible	0.3
incredibly	0.3
intensely	0.3
major	0.3
majorly	0.3
more	0.3
most	0.3
particularly	0.3
purely	0.3
quite	0.3
really	0.3
remarkably	0.3
so	0.3
substantially	0.3
thoroughly	0.3
total	0.3
totally	0.3
tremendous	0.3
tremendously	0.3
uber	0.3
unbelievably	0.3
unusually	0.3
utter	0.3
utterly	0.3
very	0.3
	
	
a+	0.3
abound	0.3
abounds	0.3
abundance	0.3
abundant	0.3
accessable	0.3
accessible	0.3
acclaim	0.3
acclaimed	0.3
acclamation	0.3
accolade	0.3
accolades	0.3
accommodative	0.3
accomodative	0.3
accomplish	0.3
accomplished	0.3
accomplishment	0.3
accomplishments	0.3
accurate	0.3
accurately	0.3
achievable	0.3
achievement	0.3
achievements	0.3
achievible	0.3
acumen	0.3
adaptable	0.3
adaptive	0.3
adequate	0.3
adjustable	0.3
admirable	0.3
admirably	0.3
admiration	0.3
admire	0.3
admirer	0.3
admiring	0.3
admiringly	0.3
adorable	0.3
adore	0.3
adored	0.3
adorer	0.3
adoring	0.3
adoringly	0.3
adroit	0.3
adroitly	0.3
adulate	0.3
adulation	0.3
adulatory	0.3
advanced	0.3
advantage	0.3
advantageous	0.3
advantageously	0.3
advantages	0.3
adventuresome	0.3
adventurous	0.3
advocate	0.3
advocated	0.3
advocates	0.3
affability	0.3
affable	0.3
affably	0.3
affectation	0.3
affection	0.3
affectionate	0.3
affinity	0.3
affirm	0.3
affirmation	0.3
affirmative	0.3
affluence	0.3
affluent	0.3
afford	0.3
affordable	0.3
affordably	0.3
afordable	0.3
agile	0.3
agilely	0.3
agility	0.3
agreeable	0.3
agreeableness	0.3
agreeably	0.3
all-around	0.3
