word	score
almost	-0.3
barely	-0.3
hardly	-0.3
kinda	-0.3
kindof	-0.3
kind-of	-0.3
less	-0.3
little	-0.3
marginal	-0.3
marginally	-0.3
occasional	-0.3
occasionally	-0.3
partly	-0.3
scarce	-0.3
scarcely	-0.3
slight	-0.3
slightly	-0.3
somewhat	-0.3
sorta	-0.3
sortof	-0.3
sort-of	-0.3
2-faces	-0.3
abnormal	-0.3
abolish	-0.3
abominable	-0.3
abominably	-0.3
abominate	-0.3
abomination	-0.3
abort	-0.3
aborted	-0.3
aborts	-0.3
abrade	-0.3
abrasive	-0.3
abrupt	-0.3
abruptly	-0.3
abscond	-0.3
absence	-0.3
absent-minded	-0.3
absentee	-0.3
absurd	-0.3
absurdity	-0.3
absurdly	-0.3
absurdness	-0.3
abuse	-0.3
abused	-0.3
abuses	-0.3
abusive	-0.3
abysmal	-0.3
abysmally	-0.3
abyss	-0.3
accidental	-0.3
accost	-0.3
accursed	-0.3
accusation	-0.3
accusations	-0.3
accuse	-0.3
accuses	-0.3
accusing	-0.3
accusingly	-0.3
acerbate	-0.3
acerbic	-0.3
acerbically	-0.3
ache	-0.3
ached	-0.3
aches	-0.3
achey	-0.3
aching	-0.3
acrid	-0.3
acridly	-0.3
acridness	-0.3
acrimonious	-0.3
acrimoniously	-0.3
acrimony	-0.3
adamant	-0.3
adamantly	-0.3
addict	-0.3
addicted	-0.3
addicting	-0.3
addicts	-0.3
admonish	-0.3
admonisher	-0.3
admonishingly	-0.3
admonishment	-0.3
admonition	-0.3
adulterate	-0.3
adulterated	-0.3
adulteration	-0.3
adulterier	-0.3
adversarial	-0.3
adversary	-0.3
adverse	-0.3
adversity	-0.3
afflict	-0.3
affliction	-0.3
afflictive	-0.3
affront	-0.3
afraid	-0.3
aggravate	-0.3
aggravating	-0.3
aggravation	-0.3
aggression	-0.3
aggressive	-0.3
aggressiveness	-0.3
aggressor	-0.3
aggrieve	-0.3
aggrieved	-0.3
aggrivation	-0.3
aghast	-0.3
agonies	-0.3
agonize	-0.3
agonizing	-0.3
agonizingly	-0.3
agony	-0.3
aground	-0.3
ail	-0.3
ailing	-0.3
ailment	-0.3
aimless	-0.3
alarm	-0.3
alarmed	-0.3
alarming	-0.3
alarmingly	-0.3
alienate	-0.3
alienated	-0.3
alienation	-0.3
allegation	-0.3
allegations	-0.3
allege	-0.3
allergic	-0.3
allergies	-0.3
allergy	-0.3
aloof	-0.3
altercation	-0.3
ambiguity	-0.3
ambiguous	-0.3
ambivalence	-0.3
ambivalent	-0.3
ambush	-0.3
amiss	-0.3
amputate	-0.3
anarchism	-0.3
anarchist	-0.3
anarchistic	-0.3
anarchy	-0.3
anemic	-0.3
anger	-0.3
angrily	-0.3
angriness	-0.3
angry	-0.3
anguish	-0.3
animosity	-0.3
annihilate	-0.3
annihilation	-0.3
annoy	-0.3
annoyance	-0.3
annoyances	-0.3
annoyed	-0.3
annoying	-0.3
annoyingly	-0.3
annoys	-0.3
anomalous	-0.3
anomaly	-0.3
antagonism	-0.3
antagonist	-0.3
antagonistic	-0.3
antagonize	-0.3
anti-	-0.3
anti-american	-0.3
anti-israeli	-0.3
anti-occupation	-0.3
anti-proliferation	-0.3
anti-semites	-0.3
anti-social	-0.3
anti-us	-0.3
anti-white	-0.3
antipathy	-0.3
antiquated	-0.3
antithetical	-0.3
anxieties	-0.3
anxiety	-0.3
anxious	-0.3
anxiously	-0.3
anxiousness	-0.3
apathetic	-0.3
apathetically	-0.3
apathy	-0.3
apocalypse	-0.3
apocalyptic	-0.3
apologist	-0.3
apologists	-0.3
appal	-0.3
appall	-0.3
appalled	-0.3
appalling	-0.3
appallingly	-0.3
apprehension	-0.3
apprehensions	-0.3
apprehensive	-0.3
apprehensively	-0.3
arbitrary	-0.3
arcane	-0.3
archaic	-0.3
arduous	-0.3
arduously	-0.3
argumentative	-0.3
arrogance	-0.3
arrogant	-0.3
arrogantly	-0.3
ashamed	-0.3
asinine	-0.3
asininely	-0.3
asinininity	-0.3
askance	-0.3
asperse	-0.3
aspersion	-0.3
aspersions	-0.3
assail	-0.3
assassin	-0.3
assassinate	-0.3
assault	-0.3
assult	-0.3
astray	-0.3
asunder	-0.3
atrocious	-0.3
atrocities	-0.3
atrocity	-0.3
atrophy	-0.3
attack	-0.3
attacks	-0.3
audacious	-0.3
audaciously	-0.3
audaciousness	-0.3
audacity	-0.3
audiciously	-0.3
austere	-0.3
authoritarian	-0.3
autocrat	-0.3
autocratic	-0.3
avalanche	-0.3
avarice	-0.3
avaricious	-0.3
avariciously	-0.3
avenge	-0.3
averse	-0.3
aversion	-0.3
aweful	-0.3
awful	-0.3
awfully	-0.3
awfulness	-0.3
awkward	-0.3
awkwardness	-0.3
ax	-0.3
babble	-0.3
back-logged	-0.3
back-wood	-0.3
back-woods	-0.3
backache	-0.3
backaches	-0.3
backaching	-0.3
backbite	-0.3
backbiting	-0.3
backward	-0.3
backwardness	-0.3
backwood	-0.3
backwoods	-0.3
bad	-0.3
badly	-0.3
baffle	-0.3
baffled	-0.3
bafflement	-0.3
baffling	-0.3
bait	-0.3
balk	-0.3
banal	-0.3
banalize	-0.3
bane	-0.3
banish	-0.3
banishment	-0.3
bankrupt	-0.3
barbarian	-0.3
barbaric	-0.3
barbarically	-0.3
barbarity	-0.3
barbarous	-0.3
barbarously	-0.3
barren	-0.3
baseless	-0.3
bash	-0.3
bashed	-0.3
bashful	-0.3
bashing	-0.3
bastard	-0.3
bastards	-0.3
battered	-0.3
battering	-0.3
batty	-0.3
bearish	-0.3
beastly	-0.3
bedlam	-0.3
bedlamite	-0.3
befoul	-0.3
beg	-0.3
beggar	-0.3
beggarly	-0.3
begging	-0.3
beguile	-0.3
belabor	-0.3
belated	-0.3
beleaguer	-0.3
belie	-0.3
belittle	-0.3
belittled	-0.3
belittling	-0.3
bellicose	-0.3
belligerence	-0.3
belligerent	-0.3
belligerently	-0.3
bemoan	-0.3
bemoaning	-0.3
bemused	-0.3
bent	-0.3
berate	-0.3
bereave	-0.3
bereavement	-0.3
bereft	-0.3
berserk	-0.3
beseech	-0.3
beset	-0.3
besiege	-0.3
besmirch	-0.3
bestial	-0.3
betray	-0.3
betrayal	-0.3
betrayals	-0.3
betrayer	-0.3
betraying	-0.3
betrays	-0.3
bewail	-0.3
beware	-0.3
bewilder	-0.3
bewildered	-0.3
bewildering	-0.3
bewilderingly	-0.3
bewilderment	-0.3
bewitch	-0.3
bias	-0.3
biased	-0.3
biases	-0.3
bicker	-0.3
bickering	-0.3
bid-rigging	-0.3
bigotries	-0.3
bigotry	-0.3
bitch	-0.3
bitchy	-0.3
biting	-0.3
bitingly	-0.3
bitter	-0.3
bitterly	-0.3
bitterness	-0.3
bizarre	-0.3
blab	-0.3
blabber	-0.3
blackmail	-0.3
blah	-0.3
blame	-0.3
blameworthy	-0.3
bland	-0.3
blandish	-0.3
blaspheme	-0.3
blasphemous	-0.3
blasphemy	-0.3
blasted	-0.3
blatant	-0.3
blatantly	-0.3
